Timestamp (UTC),Inverter Serial,Port Number,DC Power (W),DC Voltage (V),Daily Energy (Wh)
2026-09-13T18:00:00Z,1420b0314df9,3,92.0,42.6,187.0
2026-09-13T18:00:00Z,1420b0314df9,4,91.0,42.6,183.0
2026-09-13T18:00:00Z,1420b0314f85,1,98.0,42.7,195.0
2026-09-13T18:00:00Z,1420b0314f85,2,98.0,42.7,194.0
2026-09-13T18:00:00Z,1420b0314f85,3,98.0,42.7,195.0
2026-09-13T18:00:00Z,1420b0314f85,4,99.0,42.8,195.0
2026-09-13T18:00:00Z,1420b03150a1,1,14.0,16.0,114.0
2026-09-13T18:00:00Z,1420b03150a1,2,121.0,49.0,141.0
2026-09-13T18:00:00Z,1420b03150a1,3,102.0,42.9,200.0
2026-09-13T18:00:00Z,1420b03150a1,4,103.0,42.8,202.0
2026-09-13T18:00:00Z,1420b0315189,1,102.0,42.8,202.0
